Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites
44.4637,-111.7322,1987,28,66,,81,2,1.88,,,,
44.3278,-112.2128,1795,10,99,,55,5,2.06,,,,
44.3678,-112.1432,1859,25,70,,46,5,1.67,,,,
44.4023,-111.9407,1945,25,90,,10,7,2.22,,,,
44.231,-112.6583,1868,13,143,,18,10,2.22,,,,
20.8,-159.7,-4500,,,,65,,0.75,,,49,1
44.1808,-112.5213,1672,103,152,,58,8,2.43,,,,
18.3,-173.3833,-3900,,,,35,,0.92,,,32,1
44.1848,-112.449,1544,105,138,,30,,2.43,,,,
19.4667,-174.5833,-4900,,,,62,,0.84,,,52,1
44.1388,-112.9447,1951,100,183,,34,,1.46,,,,
16.75,-176.4,-5040,,,,66,,0.75,,,50,1
44.1327,-112.8458,1987,15,100,,38,1,2.43,,,,
19.0333,-177.3167,-4750,,,,69,,0.67,,,46,1
44.082,-112.127,1926,15,65,,20,1,2.38,,,,
32.5833,-132.5,-4000,,,,67,,0.75,,,50,1
44.1397,-111.5467,1724,20,150,,23,,,,,,
0.6667,169.2833,-4310,,,,76,,1.04,,,79,1
44.0868,-111.5323,1582,20,53,,40,,,,,,
-9.0667,174.85,-5000,,,,72,,0.78,,,57,1
44.0743,-111.4528,1599,25,175,,78,1,1.92,,,,
-18.9833,177.6,-2700,,,,63,,1,,,63,1
44.0785,-111.4465,1602,15,105,,62,1,1.92,,,,
-21.9333,178.55,-3900,,,,125,,0.87,,,108,1
43.9743,-113.0315,2121,18,59,,24,1,3.22,,,,
-17.4667,-158.6667,-4880,,,,66,,0.77,,,66,1
44.0428,-112.8003,1672,70,130,,37,1,1.46,,,,
-12.8,-143.55,-4300,,,,15,,0.72,,,15,1
44.0162,-112.4935,1465,20,78,,31,,1.46,,,,
-14.75,-112.1833,-3020,,,,215,,1.02,,,220,1
44.0225,-111.8293,1602,8,124,,59,18,1.84,,,,
5.8667,-123.9167,-4100,,,,73,,0.95,,,69,1
44.0182,-111.8823,1684,13,59,,47,6,1.8,,,,
14.9833,-124.2,-4350,,,,124,,0.82,,,102,1
43.9863,-111.3415,1740,90,190,,54,,2.05,,,,
13.1333,-91.95,-6170,,,,24,,0.8,,,20,1
43.9593,-111.3415,1740,80,180,,58,,2.05,,,,
11.9167,-91.6167,-3600,,,,46,,0.7,,,32,1
44.0155,-111.2518,1768,120,230,,37,,2.05,,,,
9.8167,-93.0333,-3730,,,,14,,0.74,,,11,1
43.939,-111.4835,1646,10,85,,24,1,1.92,,,,
12.2333,-98.7333,-3500,,,,40,,0.72,,,29,1
43.9383,-111.525,1626,35,105,,,18,2.05,,,,
10.8667,-105.0667,-3300,,,,183,,0.82,,,149,1
43.9383,-111.5283,1615,20,100,,,18,2.05,,,,
10.9,-104.4167,-2950,,,,140,,0.82,,,114,1
43.9255,-111.5445,1594,10,150,,88,18,2.05,,,,
12.2,-111.0667,-3600,,,,48,,0.82,,,39,1
43.9135,-111.5447,1628,95,130,,57,18,2.05,,,,
20.7333,-115.7,-3910,,,,59,,0.85,,,50,1
43.9133,-111.548,1629,170,196,,213,1,0.96,,,,
25.0167,-123.0667,-4300,,,,48,,0.96,,,46,1
43.914,-111.4677,1678,110,253,,37,1,1.55,,,,
24.9,-123.0833,-4200,,,,49,,0.96,,,47,1
43.8998,-111.4868,1735,85,225,,74,18,2.05,,,,
43.908,-111.5322,1634,60,100,,134,1,1.76,,,,
40.3167,50.6333,,,,,,,,,,33,
43.907,-111.5373,1536,20,105,,131,18,2.05,,,,
40.3167,50.6333,,,,,,,,,,33,
43.8947,-111.5352,1631,20,140,,178,18,2.05,,,,
43.8915,-111.5163,1649,10,130,,108,18,2.05,,,,
43.9545,-111.3682,1719,10,345,,45,18,2.05,,,,
43.9503,-111.3352,1743,50,110,,15,,1.46,,,,
43.9262,-111.3792,1727,45,215,,20,,1.46,,,,
43.8978,-111.4378,1732,10,255,,108,18,2.06,,,,
40.2,50.9,,,,,,,,,,31,
43.8908,-111.416,1745,50,240,,12,,1.51,,,,
40.2,50.9,,,,,,12,,,,58,
43.8578,-111.5928,1591,30,100,,110,18,2.05,,,,
40.2,50.9,,,,,,12,,,,46,
43.8232,-111.5667,1687,40,100,,6,,1.51,,,,
40.2,50.9,,,,,,,,,,43,
43.8192,-111.562,1713,10,215,,9,,1.51,,,,
40.2,50.9,,,,,,12,,,,89,
