Bore Name,Bore ID,Basin,GDA94 Lat,GDA94 Long,Heat Flow (mWm-2),Error (± mWm-2),Confidence Rating,Depth logged (m),Source,,,,
SARC012D,,Bedrock,664771.992452769,5870506.03171663,64,2,GOOD,376,Taylor et al. 2016,,,,
SMD002,,Bedrock,643548.991559581,5833804.04071933,60,3,MODERATE,377,Taylor et al. 2016,,,,
SMD004,,Bedrock,641369.030138329,5836282.96926773,75,5,GOOD,535,Taylor et al. 2016,,,,
Stavely 1,,Bedrock,664885.974764996,5790526.01708337,80,8,GOOD,230,Taylor et al. 2016,,,,
Stavely 11,,Bedrock,586306.00131306,5930514.96058732,63,14,MODERATE,161,Taylor et al. 2016,,,,
Stavely 7,,Bedrock,617383.964285131,5905832.00635891,52,4,GOOD,500,Taylor et al. 2016,,,,
Stavely 9,,Bedrock,603378.015620447,5926714.03464924,47,7,POOR,164,Taylor et al. 2016,,,,
Stawell SD25,,Bedrock,657905.042051158,5899488.01846596,86,16,POOR,291,Taylor et al. 2016,,,,
VIMP 14,,Bedrock,620659.321697834,5967318.39172099,76,8,GOOD,195,Taylor et al. 2016,,,,
VIMP 3,,Bedrock,589220.193352812,5920677.66648258,71,8,GOOD,132,Taylor et al. 2016,,,,
Ballan Road 2,,Bedrock,813463.87444147,5806066.75755558,86,9,GOOD,241,Taylor 2017,,,,
Greek Hill,,Bedrock,820694.340133942,5809044.52736381,97,9,GOOD,239,Taylor 2017,,,,
Addington,,Bedrock,735911.159228932,5855956.21276029,84,8,GOOD,292,Taylor & Mather 2015,,,,
Arcadia 6,46139,Murray,893868.229618372,5951681.52464857,89,15,POOR,110,Taylor & Mather 2015,,,,
Ardno 2,46217,Otway,497516.680279906,5818782.21693737,53,7,POOR,159,Taylor & Mather 2015,,,,
Babatchio 20141,112185,Murray,575514.965967795,6010069.05029589,54,6,MODERATE,212,Taylor & Mather 2015,,,,
Bael Bael 3,46917,Murray,750795.043123016,6050377.00834856,74,14,POOR,89,Taylor & Mather 2015,,,,
Bairnsdale 15005,47063,Gippsland,1082745.88182218,5784148.4209724,88,4,GOOD,574,Taylor & Mather 2015,,,,
Balrootan 15,47503,Murray,559145.996630299,5979329.94924994,64,6,MODERATE,290,Taylor & Mather 2015,,,,
Baulkamaugh 29,48282,Murray,899368.206314726,6003455.44344342,63,10,POOR,137,Taylor & Mather 2015,,,,
Baynton 1,,Bedrock,823437.942524622,5883757.16435324,73,7,MODERATE,312,Taylor & Mather 2015,,,,
Beewar 15002,48559,Murray,526598.971841183,5946491.96233263,50,4,POOR,152,Taylor & Mather 2015,,,,
Belfast 4,48560,Otway,605789.187240711,5750799.25398971,51,10,POOR,665,Taylor & Mather 2015,,,,
Bellarine 1,,Otway,781189.791303098,5757727.96649609,90,9,POOR,808,Taylor & Mather 2015,,,,
Benjeroop 79,49563,Murray,755169.969716195,6072183.97999253,60,5,MODERATE,214,Taylor & Mather 2015,,,,
Berrook 1,49676,Murray,502716.021862555,6135880.95534418,75,7,MODERATE,346,Taylor & Mather 2015,,,,
Branxholme 1,51409,Otway,569719.458242582,5809678.43667042,52,5,POOR,158,Taylor & Mather 2015,,,,
Budgerum West 1,52367,Murray,729140.53214794,6038478.70564668,74,9,POOR,195,Taylor & Mather 2015,,,,
Bundalaguah 8,52742,Gippsland,1027183.13124836,5780146.82884065,77,16,POOR,140,Taylor & Mather 2015,,,,
Bung Bong 1,,Bedrock,727042.967838442,5898752.77700491,77,5,GOOD,505,Taylor & Mather 2015,,,,
Buninyong 1,,Bedrock,760179.768386997,5829141.49196938,108,12,MODERATE,268,Taylor & Mather 2015,,,,
BurnBank 1,,Bedrock,730214.578302242,5872814.60891874,86,8,GOOD,425,Taylor & Mather 2015,,,,
Cameron 2,,Bedrock,748901.223656998,5878549.6099708,64,12,POOR,256,Taylor & Mather 2015,,,,
Carag Carag 37,54455,Murray,846080.320151186,5964845.0450106,80,14,POOR,90,Taylor & Mather 2015,,,,
Caramballuc South 20001,110100,Otway,690119.925774904,5813228.12134609,88,20,POOR,178,Taylor & Mather 2015,,,,
Carisbrook 2,,Bedrock,755800.829656524,5897329.73008861,77,6,MODERATE,306,Taylor & Mather 2015,,,,
Castlemaine gold QHD 002  ,,Bedrock,789540.759248911,5893468.41685309,114,11,GOOD,445,Taylor & Mather 2015,,,,
Cooriejong 1,56801,Otway,690281.663003629,5743312.73920415,77,7,GOOD,290,Taylor & Mather 2015,,,,
Cotswold 1,,Bedrock,754657.264537456,5884059.7772213,79,13,GOOD,307,Taylor & Mather 2015,,,,
Cressy 2,57505,Otway,738417.360495261,5782274.57482698,68,17,POOR,350,Taylor & Mather 2015,,,,
Dahwedarre 15001,58111,Murray,526718.606179409,6009577.7522664,51,11,POOR,269,Taylor & Mather 2015,,,,
Dartmoor X,110745,Otway,523684.036456932,5803311.00608658,58,7,POOR,173,Taylor & Mather 2015,,,,
Denison 50,440058,Gippsland,1016864.06420807,5765349.9632853,53,7,POOR,395,Taylor & Mather 2015,,,,
Denison 53,58935,Gippsland,1017235.12920414,5765889.62104759,68,8,POOR,287,Taylor & Mather 2015,,,,
Denison 57,58937,Gippsland,1013764.69732331,5770323.982614,82,6,POOR,710,Taylor & Mather 2015,,,,
Derby,109928,Murray,764435.556610038,5940165.08709235,58,12,POOR,87,Taylor & Mather 2015,,,,
Diggora 66,60136,Murray,824264.807804968,5968809.28896853,58,9,POOR,132,Taylor & Mather 2015,,,,
Dinyarrak 15010,60475,Murray,506690.960709614,5987326.01433924,57,12,POOR,173,Taylor & Mather 2015,,,,
Dopewora 15006,60623,Murray,530641.9722646,5926570.998846,51,4,POOR,140,Taylor & Mather 2015,,,,
Duchembegarra X,110093,Murray,584290.011980822,5948698.92177407,57,6,POOR,146,Taylor & Mather 2015,,,,
Echuca North 55,61957,Murray,838814.820958742,5993110.25466909,68,17,POOR,162,Taylor & Mather 2015,,,,
Echuca South 24,62038,Murray,841968.564623953,5987276.90746076,77,11,POOR,173,Taylor & Mather 2015,,,,
Ecklin 4,62084,Otway,663119.649836937,5750426.48382142,69,6,GOOD,754,Taylor & Mather 2015,,,,
Elephant 1,,Bedrock,693126.562022444,5794333.72350988,81,7,GOOD,577,Taylor & Mather 2015,,,,
Elingamite 2,62426,Otway,673674.215594376,5747874.34565314,58,4,GOOD,526,Taylor & Mather 2015,,,,
Franklin 1,,Bedrock,780760.763609097,5871276.61617459,76,10,GOOD,300,Taylor & Mather 2015,,,,
Galaquil 15001,63994,Murray,630020.810663156,6018578.69402507,72,11,POOR,104,Taylor & Mather 2015,,,,
GBM Res. MD 12 ,Belltopper  Hill,Bedrock,796175.301308549,5878747.73372833,87,8,MODERATE,799,Taylor & Mather 2015,,,,
Gerang Gerung 15010,64281,Murray,579749.366315413,5973865.09010835,48,11,POOR,143,Taylor & Mather 2015,,,,
Gerangamete 11,64227,Otway,731210.74420797,5737341.15419602,59,5,MODERATE,427,Taylor & Mather 2015,,,,
Goldsmith 1,,Bedrock,707867.76664803,5841112.80773495,101,9,GOOD,310,Taylor & Mather 2015,,,,
Gorae 5,307764,Otway,545966.223593046,5765328.34829489,62,6,MODERATE,693,Taylor & Mather 2015,,,,
Gunamalary 2,66476,Murray,517801.983775693,6091824.03433925,52,7,POOR,440,Taylor & Mather 2015,,,,
Gymbowen 2,66594,Murray,556448.986632051,5934661.04147674,67,5,POOR,193,Taylor & Mather 2015,,,,
Hepburn 1,,Bedrock,763472.643091847,5860427.79057728,93,9,GOOD,272,Taylor & Mather 2015,,,,
Heywood 13,67006,Otway,545818.79210692,5777027.7625354,43,1,MODERATE,540,Taylor & Mather 2015,,,,
Hindmarsh 20020,112179,Murray,587762.823103239,6007570.64608424,59,9,POOR,144,Taylor & Mather 2015,,,,
Homerton 4,310064,Otway,562697.91520166,5777033.78367071,76,7,MODERATE,584,Taylor & Mather 2015,,,,
Jan Juc X,119348,Otway,781451.961898408,5751198.9506103,77,17,POOR,280,Taylor & Mather 2015,,,,
Janiember East 18,67908,Murray,763774.104760061,5974018.77039735,63,9,POOR,67,Taylor & Mather 2015,,,,
Jungkum X,68436,Murray,558296.955592625,5953046.03467231,63,6,MODERATE,182,Taylor & Mather 2015,,,,
Kaniva X,112708,Murray,523230.992488268,5975565.96272673,48,7,POOR,183,Taylor & Mather 2015,,,,
Karadoc 114,69462,Murray,621057.004959775,6192678.04285197,92,5,GOOD,471,Taylor & Mather 2015,,,,
Karngun 3,69499,Otway,753020.693400871,5756692.59726108,55,10,POOR,105,Taylor & Mather 2015,,,,
Katamatite 12,69545,Murray,924896.490158313,6004410.16751573,87,14,POOR,110,Taylor & Mather 2015,,,,
Kenmare X,8002886,Murray,605329.04212453,6026054.95922294,83,14,POOR,120,Taylor & Mather 2015,,,,
